"Election_Date","Election_Type","Expected"
1876-01-07,"By-Election",1
1876-01-21,"By-Election",1
1876-01-22,"By-Election",1
1876-03-11,"By-Election",1
1876-06-07,"By-Election",1
1876-07-05,"By-Election",3
1876-07-31,"By-Election",1
1876-09-21,"By-Election",1
1876-10-18,"By-Election",1
1876-11-15,"By-Election",1
1876-11-22,"By-Election",1
1876-12-14,"By-Election",1
1876-12-28,"By-Election",1
1877-02-19,"By-Election",1
1877-03-23,"By-Election",1
1877-05-09,"By-Election",2
1877-07-02,"By-Election",1
1877-10-27,"By-Election",1
1877-11-03,"By-Election",1
1877-11-28,"By-Election",1
1877-12-18,"By-Election",1
1878-01-12,"By-Election",1
1878-01-19,"By-Election",1
1878-01-29,"By-Election",1
1878-02-05,"By-Election",1
1878-03-25,"By-Election",1
1878-09-17,"General",196
1878-11-02,"By-Election",1
1878-11-04,"By-Election",5
1878-11-06,"By-Election",2
1878-11-09,"By-Election",1
1878-11-14,"By-Election",1
1878-11-30,"By-Election",1
1879-01-09,"By-Election",1
1879-02-13,"By-Election",1
1879-02-25,"By-Election",1
1879-03-20,"By-Election",1
1879-07-07,"By-Election",1
1879-08-26,"By-Election",1
1879-09-29,"By-Election",1
1879-10-23,"By-Election",1
1879-11-17,"By-Election",1
1879-12-30,"By-Election",1
1880-01-22,"By-Election",1
1880-01-27,"By-Election",1
1880-02-12,"By-Election",1
1880-02-14,"By-Election",1
1880-04-17,"By-Election",1
1880-08-28,"By-Election",2
1880-09-10,"By-Election",1
1880-10-18,"By-Election",1
1880-11-20,"By-Election",2
1880-12-09,"By-Election",3
1881-02-16,"By-Election",1
1881-03-19,"By-Election",2
1881-03-25,"By-Election",1
1881-03-31,"By-Election",1
1881-06-18,"By-Election",2
1881-08-17,"By-Election",1
1881-12-19,"By-Election",1
1882-02-16,"By-Election",1
1882-03-09,"By-Election",1
1882-06-20,"General",201
1882-08-16,"By-Election",1
1882-09-02,"By-Election",1
1882-10-27,"By-Election",1
1882-11-07,"By-Election",1
1882-12-07,"By-Election",1
1883-02-27,"By-Election",1
1883-04-26,"By-Election",1
1883-07-10,"By-Election",1
1883-07-24,"By-Election",1
1883-09-22,"By-Election",1
1883-10-10,"By-Election",1
1883-10-25,"By-Election",1
1883-11-26,"By-Election",1
1883-12-10,"By-Election",1
1883-12-14,"By-Election",1
1883-12-27,"By-Election",1
1884-01-29,"By-Election",1
1884-02-25,"By-Election",1
1884-04-16,"By-Election",1
1884-06-10,"By-Election",1
1884-06-26,"By-Election",1
1884-06-29,"By-Election",1
1884-07-03,"By-Election",1
1884-08-19,"By-Election",1
1884-08-22,"By-Election",1
1884-10-31,"By-Election",1
1884-12-22,"By-Election",1
1885-01-28,"By-Election",1
1885-02-05,"By-Election",1
1885-04-07,"By-Election",1
1885-04-14,"By-Election",1
1885-07-04,"By-Election",1
1885-08-24,"By-Election",1
1885-08-27,"By-Election",1
1885-10-16,"By-Election",1
1885-10-20,"By-Election",1
1885-11-24,"By-Election",1
1885-12-31,"By-Election",1
1886-07-30,"By-Election",1
1886-09-08,"By-Election",1
1887-02-22,"General",205
1887-04-02,"By-Election",1
1887-04-20,"By-Election",1
1887-05-21,"By-Election",1
1887-07-16,"By-Election",1
1887-08-02,"By-Election",1
1887-09-28,"By-Election",1
1887-10-18,"By-Election",1
1887-10-19,"By-Election",1
1887-10-27,"By-Election",1
1887-11-09,"By-Election",1
1887-11-12,"By-Election",1
1887-11-21,"By-Election",1
1887-12-15,"By-Election",2
1887-12-22,"By-Election",1
1888-01-07,"By-Election",1
1888-01-18,"By-Election",1
1888-01-23,"By-Election",1
1888-02-01,"By-Election",1
1888-02-07,"By-Election",1
1888-03-10,"By-Election",2
1888-03-17,"By-Election",1
1888-03-27,"By-Election",1
1888-04-03,"By-Election",1
1888-05-02,"By-Election",1
1888-05-07,"By-Election",1
1888-06-18,"By-Election",1
1888-07-13,"By-Election",1
1888-07-17,"By-Election",1
1888-08-15,"By-Election",2
1888-08-22,"By-Election",1
1888-09-12,"By-Election",1
1888-09-26,"By-Election",1
1888-10-03,"By-Election",1
1888-10-22,"By-Election",1
1888-11-21,"By-Election",1
1888-11-22,"By-Election",1
1888-12-26,"By-Election",1
1889-01-16,"By-Election",1
1889-01-24,"By-Election",1
1889-01-30,"By-Election",1
1889-05-16,"By-Election",1
1889-10-28,"By-Election",1
1889-12-18,"By-Election",1
1890-02-20,"By-Election",1
1890-04-26,"By-Election",1
1890-05-23,"By-Election",1
1890-06-19,"By-Election",1
1890-07-25,"By-Election",1
1890-07-31,"By-Election",1
1890-12-09,"By-Election",1
1890-12-18,"By-Election",1
1891-03-05,"General",205
1891-12-31,"By-Election",1
1892-01-11,"By-Election",1
1892-01-14,"By-Election",1
1892-01-21,"By-Election",1
1892-01-25,"By-Election",1
1892-01-26,"By-Election",1
1892-01-28,"By-Election",3
1892-01-30,"By-Election",1
1892-02-03,"By-Election",1
1892-02-04,"By-Election",2
1892-02-09,"By-Election",1
1892-02-11,"By-Election",6
1892-02-12,"By-Election",1
1892-02-13,"By-Election",2
1892-02-20,"By-Election",2
1892-02-22,"By-Election",1
1892-02-25,"By-Election",2
1892-02-26,"By-Election",2
1892-02-27,"By-Election",1
1892-02-29,"By-Election",1
1892-03-05,"By-Election",1
1892-03-10,"By-Election",3
1892-03-12,"By-Election",1
1892-03-15,"By-Election",1
1892-03-30,"By-Election",1
1892-04-06,"By-Election",1
1892-04-29,"By-Election",1
1892-05-11,"By-Election",1
1892-05-19,"By-Election",1
1892-05-31,"By-Election",1
1892-06-10,"By-Election",1
1892-06-26,"By-Election",1
1892-07-15,"By-Election",1
1892-08-16,"By-Election",1
1892-10-21,"By-Election",1
1892-11-02,"By-Election",1
1892-11-21,"By-Election",1
1892-11-22,"By-Election",1
1892-12-06,"By-Election",1
1892-12-13,"By-Election",1
1892-12-18,"By-Election",1
1892-12-20,"By-Election",1
1892-12-21,"By-Election",3
1893-01-05,"By-Election",1
1893-01-10,"By-Election",1
1893-03-22,"By-Election",1
1893-04-12,"By-Election",1
1893-05-02,"By-Election",1
1893-11-22,"By-Election",1
1893-12-07,"By-Election",1
1894-05-05,"By-Election",1
1894-07-04,"By-Election",1
1895-01-15,"By-Election",1
1895-04-17,"By-Election",4
1895-08-24,"By-Election",1
1895-11-30,"By-Election",1
1895-12-12,"By-Election",1
1895-12-24,"By-Election",1
1895-12-27,"By-Election",1
1896-01-06,"By-Election",1
1896-01-14,"By-Election",1
1896-01-27,"By-Election",1
1896-02-04,"By-Election",1
1896-02-06,"By-Election",1
1896-06-23,"General",206
1896-07-30,"By-Election",8
1896-08-03,"By-Election",1
1896-08-05,"By-Election",1
1896-08-25,"By-Election",2
1896-11-27,"By-Election",1
1896-12-19,"By-Election",2
1897-02-04,"By-Election",3
1897-03-17,"By-Election",1
1897-03-23,"By-Election",1
1897-04-07,"By-Election",1
1897-04-20,"By-Election",1
1897-04-27,"By-Election",3
1897-11-06,"By-Election",2
1897-11-13,"By-Election",1
1897-11-30,"By-Election",1
1897-12-21,"By-Election",1
1898-01-24,"By-Election",1
1898-04-13,"By-Election",1
1898-12-14,"By-Election",5
1899-02-21,"By-Election",1
1899-03-22,"By-Election",1
1899-04-20,"By-Election",1
1900-01-18,"By-Election",4
1900-01-25,"By-Election",3
1900-07-04,"By-Election",1
1900-11-07,"General",206
1901-03-20,"By-Election",2
1901-12-28,"By-Election",1
1902-01-08,"By-Election",1
1902-01-15,"By-Election",9
1902-01-28,"By-Election",1
1902-01-29,"By-Election",2
1902-02-18,"By-Election",1
1902-02-28,"By-Election",1
1902-03-26,"By-Election",1
1902-12-02,"By-Election",1
1902-12-03,"By-Election",2
1902-12-09,"By-Election",1
1903-02-04,"By-Election",1
1903-02-24,"By-Election",3
1903-03-03,"By-Election",1
1903-03-10,"By-Election",1
1903-04-20,"By-Election",1
1904-01-30,"By-Election",2
1904-02-12,"By-Election",1
1904-02-16,"By-Election",8
1904-02-20,"By-Election",1
1904-03-16,"By-Election",1
1904-11-03,"General",211
1905-01-19,"By-Election",1
1905-02-04,"By-Election",1
1905-02-13,"By-Election",1
1905-04-11,"By-Election",1
1905-04-25,"By-Election",1
1905-06-06,"By-Election",1
1905-06-13,"By-Election",2
1905-11-22,"By-Election",4
1906-01-04,"By-Election",1
1906-02-06,"By-Election",1
1906-02-23,"By-Election",1
1906-03-06,"By-Election",1
1906-03-14,"By-Election",1
1906-04-05,"By-Election",2
1906-10-04,"By-Election",1
1906-10-09,"By-Election",1
1906-10-16,"By-Election",1
1906-10-23,"By-Election",1
1906-10-30,"By-Election",1
1906-10-31,"By-Election",1
1906-11-21,"By-Election",1
1906-12-29,"By-Election",1
1907-02-28,"By-Election",1
1907-03-05,"By-Election",1
1907-03-07,"By-Election",2
1907-09-18,"By-Election",2
1907-10-29,"By-Election",3
1907-11-28,"By-Election",1
1907-12-23,"By-Election",3
1907-12-30,"By-Election",1
1908-01-22,"By-Election",2
1908-10-26,"General",218
1909-02-08,"By-Election",1
1909-02-22,"By-Election",1
1909-06-21,"By-Election",1
1909-09-25,"By-Election",1
1909-10-20,"By-Election",1
1909-10-26,"By-Election",1
1909-11-10,"By-Election",2
1909-12-22,"By-Election",2
1910-01-29,"By-Election",1
1910-11-03,"By-Election",1
1911-09-21,"General",218
1911-10-27,"By-Election",12
1911-11-04,"By-Election",1
1911-11-06,"By-Election",1
1911-11-08,"By-Election",1
1912-02-22,"By-Election",1
1912-05-30,"By-Election",1
1912-06-10,"By-Election",1
1912-10-12,"By-Election",1
1912-10-24,"By-Election",1
1912-10-30,"By-Election",1
1912-11-19,"By-Election",1
1913-07-19,"By-Election",1
1913-10-11,"By-Election",1
1913-10-21,"By-Election",1
1913-10-30,"By-Election",1
1913-12-13,"By-Election",2
1913-12-31,"By-Election",1
1914-11-07,"By-Election",2
1915-02-01,"By-Election",5
1915-02-08,"By-Election",1
1915-10-15,"By-Election",1
1916-12-14,"By-Election",1
1917-01-27,"By-Election",1
1917-12-17,"General",230
1918-05-02,"By-Election",1
1919-10-17,"By-Election",1
1919-10-20,"By-Election",1
1919-10-27,"By-Election",4
1919-12-09,"By-Election",1
1920-03-31,"By-Election",1
1920-04-07,"By-Election",2
1920-09-20,"By-Election",2
1920-11-22,"By-Election",2
1921-02-07,"By-Election",1
1921-05-28,"By-Election",2
1921-06-27,"By-Election",1
1921-12-06,"General",230
1922-01-19,"By-Election",14
1922-01-26,"By-Election",1
1922-02-28,"By-Election",1
1922-03-14,"By-Election",1
1922-03-21,"By-Election",1
1922-05-15,"By-Election",1
1922-08-31,"By-Election",1
1922-11-20,"By-Election",3
1922-12-04,"By-Election",2
1923-03-01,"By-Election",1
1923-04-10,"By-Election",1
1923-05-14,"By-Election",1
1923-07-31,"By-Election",1
1923-09-06,"By-Election",2
1923-10-24,"By-Election",1
1923-12-05,"By-Election",1
1923-12-20,"By-Election",1
1924-02-27,"By-Election",1
1924-09-02,"By-Election",2
1924-10-07,"By-Election",1
1924-11-06,"By-Election",1
1924-11-25,"By-Election",1
1924-12-01,"By-Election",1
1925-10-29,"General",241
1925-12-07,"By-Election",1
1926-02-15,"By-Election",1
1926-03-16,"By-Election",1
1926-03-29,"By-Election",1
1926-09-14,"General",241
1926-11-02,"By-Election",15
1926-11-09,"By-Election",2
1927-01-18,"By-Election",1
1927-06-16,"By-Election",1
1927-09-12,"By-Election",1
1927-11-25,"By-Election",1
1928-10-29,"By-Election",1
1928-12-06,"By-Election",1
1928-12-17,"By-Election",1
1929-01-14,"By-Election",1
1929-07-22,"By-Election",2
1929-07-29,"By-Election",3
1930-01-27,"By-Election",2
1930-02-05,"By-Election",1
1930-07-28,"General",241
1930-08-25,"By-Election",15
1930-09-02,"By-Election",1
1931-08-10,"By-Election",2
1932-03-21,"By-Election",1
1932-06-27,"By-Election",2
1932-10-03,"By-Election",1
1933-10-23,"By-Election",3
1934-04-16,"By-Election",1
1934-09-24,"By-Election",5
1935-10-14,"General",243
1935-12-30,"By-Election",1
1936-01-06,"By-Election",1
1936-01-27,"By-Election",1
1936-03-16,"By-Election",1
1936-06-08,"By-Election",1
1936-08-03,"By-Election",1
1936-08-17,"By-Election",1
1936-10-26,"By-Election",1
1937-03-22,"By-Election",2
1937-04-05,"By-Election",1
1937-10-18,"By-Election",1
1937-11-01,"By-Election",1
1937-11-08,"By-Election",1
1937-11-29,"By-Election",1
1937-12-27,"By-Election",1
1938-01-17,"By-Election",1
1938-02-21,"By-Election",1
1938-02-28,"By-Election",1
1938-03-21,"By-Election",1
1938-11-07,"By-Election",1
1938-11-14,"By-Election",3
1939-09-18,"By-Election",1
1939-12-11,"By-Election",1
1939-12-18,"By-Election",3
1940-01-02,"By-Election",1
1940-03-26,"General",243
1940-08-12,"By-Election",1
1940-08-19,"By-Election",3
1941-06-02,"By-Election",1
1942-02-09,"By-Election",3
1942-11-30,"By-Election",3
1943-08-09,"By-Election",4
1945-02-05,"By-Election",1
1945-06-11,"General",243
1945-08-06,"By-Election",1
1946-09-16,"By-Election",1
1946-10-21,"By-Election",2
1946-12-23,"By-Election",1
1947-03-31,"By-Election",1
1947-07-14,"By-Election",1
1947-10-20,"By-Election",1
1948-05-31,"By-Election",1
1948-06-08,"By-Election",2
1948-10-25,"By-Election",2
1948-12-13,"By-Election",1
1948-12-20,"By-Election",3
1949-02-07,"By-Election",1
1949-06-27,"General",260
1949-10-04,"By-Election",1
1949-10-24,"By-Election",7
1950-05-15,"By-Election",2
1950-06-19,"By-Election",3
1950-10-03,"By-Election",1
1950-10-16,"By-Election",2
1951-06-25,"By-Election",4
1951-12-10,"By-Election",1
1952-05-26,"By-Election",6
1952-10-06,"By-Election",2
1953-08-10,"General",263
1954-03-22,"By-Election",4
1954-11-08,"By-Election",6
1955-06-20,"By-Election",1
1955-09-26,"By-Election",4
1955-10-24,"By-Election",1
1955-12-19,"By-Election",1
1957-06-10,"General",263
1957-08-26,"By-Election",1
1957-11-04,"By-Election",1
1957-12-16,"By-Election",1
1958-03-31,"General",263
1958-09-29,"By-Election",2
1958-12-15,"By-Election",2
1959-10-05,"By-Election",2
1960-10-31,"By-Election",4
1961-05-29,"By-Election",4
1962-06-18,"General",263
1962-10-22,"By-Election",1
1963-04-08,"General",263
1964-02-10,"By-Election",2
1964-06-22,"By-Election",2
1964-11-09,"By-Election",2
1965-11-08,"General",263
1966-09-19,"By-Election",3
1967-05-29,"By-Election",5
1967-11-06,"By-Election",3
1968-06-25,"General",264
1969-02-10,"By-Election",1
1969-04-08,"By-Election",1
1970-04-13,"By-Election",1
1970-11-16,"By-Election",3
1971-05-31,"By-Election",4
1971-11-08,"By-Election",1
1972-10-30,"General",264
1974-07-08,"General",264
1975-10-14,"By-Election",2
1976-10-18,"By-Election",2
1977-05-24,"By-Election",5
1978-10-16,"By-Election",15
1979-05-22,"General",282
1979-09-19,"By-Election",1
1979-11-19,"By-Election",1
1980-02-18,"General",282
1980-09-08,"By-Election",1
1981-04-13,"By-Election",2
1981-05-04,"By-Election",1
1981-08-17,"By-Election",2
1982-10-12,"By-Election",3
1983-05-24,"By-Election",1
1983-08-29,"By-Election",2
1984-09-04,"General",282
1986-09-29,"By-Election",2
1987-07-20,"By-Election",3
1988-06-20,"By-Election",1
1988-11-21,"General",295
1989-03-13,"By-Election",1
1990-02-12,"By-Election",1
1990-08-13,"By-Election",2
1990-12-10,"By-Election",2
1993-10-25,"General",295
1995-02-13,"By-Election",3
1996-03-25,"By-Election",5
1996-06-17,"By-Election",1
1997-06-02,"General",301
1998-03-30,"By-Election",1
1998-09-14,"By-Election",1
1999-04-12,"By-Election",1
1999-11-15,"By-Election",4
2000-05-15,"By-Election",1
2000-09-11,"By-Election",2
2000-11-27,"General",301
2002-05-13,"By-Election",7
2002-12-09,"By-Election",2
2003-05-12,"By-Election",1
2003-06-16,"By-Election",1
2004-06-28,"General",308
2005-05-24,"By-Election",1
2006-01-23,"General",308
2006-11-27,"By-Election",2
2007-09-17,"By-Election",3
2008-03-17,"By-Election",4
2008-10-14,"General",308
2009-11-09,"By-Election",4
2010-11-29,"By-Election",3
2011-05-02,"General",308
2012-03-19,"By-Election",1
2012-11-26,"By-Election",3
2013-05-13,"By-Election",1
2013-11-25,"By-Election",4
2014-06-30,"By-Election",4
2014-11-17,"By-Election",2
2015-10-19,"General",338
2016-10-24,"By-Election",1
2017-04-03,"By-Election",5
2017-10-23,"By-Election",2
2017-12-11,"By-Election",4
2018-06-18,"By-Election",1
2018-12-03,"By-Election",1
2019-02-25,"By-Election",3
2019-05-06,"By-Election",1
2019-10-21,"General",338
2020-10-26,"By-Election",2
