"Election_Date","Election_Type","Parliament","Province_Territory","Constituency","Combined_Key","Expected_Candidates","Expected_DM"
1867-08-07,"General","1","Ontario","Norfolk North","1867-08-07, Norfolk North, Ontario",2,1
1867-08-07,"General","1","Ontario","Norfolk South","1867-08-07, Norfolk South, Ontario",2,1
1867-08-07,"General","1","Ontario","Northumberland East","1867-08-07, Northumberland East, Ontario",3,1
1867-08-07,"General","1","Ontario","Northumberland West","1867-08-07, Northumberland West, Ontario",1,1
1867-08-07,"General","1","Ontario","Ontario North","1867-08-07, Ontario North, Ontario",2,1
1867-08-07,"General","1","Ontario","Ontario South","1867-08-07, Ontario South, Ontario",2,1
1867-08-07,"General","1","Ontario","Ottawa (City of)","1867-08-07, Ottawa (City of), Ontario",6,1
1867-08-07,"General","1","Ontario","Oxford North","1867-08-07, Oxford North, Ontario",1,1
1867-08-07,"General","1","Ontario","Oxford South","1867-08-07, Oxford South, Ontario",1,1
1867-08-07,"General","1","Ontario","Peel","1867-08-07, Peel, Ontario",2,1
1867-08-07,"General","1","Ontario","Perth North","1867-08-07, Perth North, Ontario",3,1
1867-08-07,"General","1","Ontario","Perth South","1867-08-07, Perth South, Ontario",2,1
1867-08-07,"General","1","Ontario","Peterborough East","1867-08-07, Peterborough East, Ontario",2,1
1867-08-07,"General","1","Ontario","Peterborough West","1867-08-07, Peterborough West, Ontario",2,1
1867-08-07,"General","1","Ontario","Prescott","1867-08-07, Prescott, Ontario",2,1
1867-08-07,"General","1","Ontario","Prince Edward","1867-08-07, Prince Edward, Ontario",2,1
1867-08-07,"General","1","Ontario","Renfrew North","1867-08-07, Renfrew North, Ontario",2,1
1867-08-07,"General","1","Ontario","Renfrew South","1867-08-07, Renfrew South, Ontario",1,1
1867-08-07,"General","1","Ontario","Russell","1867-08-07, Russell, Ontario",2,1
1867-08-07,"General","1","Ontario","Simcoe North","1867-08-07, Simcoe North, Ontario",1,1
1867-08-07,"General","1","Ontario","Simcoe South","1867-08-07, Simcoe South, Ontario",2,1
1867-08-07,"General","1","Ontario","Stormont","1867-08-07, Stormont, Ontario",2,1
1867-08-07,"General","1","Ontario","Toronto East","1867-08-07, Toronto East, Ontario",3,1
1867-08-07,"General","1","Ontario","Toronto West","1867-08-07, Toronto West, Ontario",2,1
1867-08-07,"General","1","Ontario","Victoria North","1867-08-07, Victoria North, Ontario",2,1
1867-08-07,"General","1","Ontario","Victoria South","1867-08-07, Victoria South, Ontario",2,1
1867-08-07,"General","1","Ontario","Waterloo North","1867-08-07, Waterloo North, Ontario",1,1
1867-08-07,"General","1","Ontario","Waterloo South","1867-08-07, Waterloo South, Ontario",2,1
1867-08-07,"General","1","Ontario","Welland","1867-08-07, Welland, Ontario",1,1
1867-08-07,"General","1","Ontario","Wellington Centre","1867-08-07, Wellington Centre, Ontario",1,1
1867-08-07,"General","1","Ontario","Wellington North","1867-08-07, Wellington North, Ontario",2,1
1867-08-07,"General","1","Ontario","Wellington South","1867-08-07, Wellington South, Ontario",2,1
1867-08-07,"General","1","Ontario","Wentworth North","1867-08-07, Wentworth North, Ontario",2,1
1867-08-07,"General","1","Ontario","Wentworth South","1867-08-07, Wentworth South, Ontario",2,1
1867-08-07,"General","1","Ontario","York East","1867-08-07, York East, Ontario",2,1
1867-08-07,"General","1","Ontario","York North","1867-08-07, York North, Ontario",1,1
1867-08-07,"General","1","Ontario","York West","1867-08-07, York West, Ontario",3,1
1867-08-07,"General","1","Quebec","Argenteuil","1867-08-07, Argenteuil, Quebec",2,1
1867-08-07,"General","1","Quebec","Bagot","1867-08-07, Bagot, Quebec",2,1
1867-08-07,"General","1","Quebec","Beauce","1867-08-07, Beauce, Quebec",2,1
1867-08-07,"General","1","Quebec","Beauharnois","1867-08-07, Beauharnois, Quebec",2,1
1867-08-07,"General","1","Quebec","Bellechasse","1867-08-07, Bellechasse, Quebec",2,1
1867-08-07,"General","1","Quebec","Berthier","1867-08-07, Berthier, Quebec",2,1
1867-08-07,"General","1","Quebec","Bonaventure","1867-08-07, Bonaventure, Quebec",2,1
1867-08-07,"General","1","Quebec","Brome","1867-08-07, Brome, Quebec",1,1
1867-08-07,"General","1","Quebec","Chambly","1867-08-07, Chambly, Quebec",2,1
1867-08-07,"General","1","Quebec","Champlain","1867-08-07, Champlain, Quebec",2,1
1867-08-07,"General","1","Quebec","Charlevoix","1867-08-07, Charlevoix, Quebec",2,1
1867-08-07,"General","1","Quebec","Châteauguay","1867-08-07, Châteauguay, Quebec",2,1
1867-08-07,"General","1","Quebec","Chicoutimi--Saguenay","1867-08-07, Chicoutimi--Saguenay, Quebec",1,1
1867-08-07,"General","1","Quebec","Compton","1867-08-07, Compton, Quebec",1,1
1867-08-07,"General","1","Quebec","Dorchester","1867-08-07, Dorchester, Quebec",1,1
1867-08-07,"General","1","Quebec","Drummond--Arthabaska","1867-08-07, Drummond--Arthabaska, Quebec",2,1
1867-08-07,"General","1","Quebec","Gaspé","1867-08-07, Gaspé, Quebec",1,1
1867-08-07,"General","1","Quebec","Hochelaga","1867-08-07, Hochelaga, Quebec",2,1
1867-08-07,"General","1","Quebec","Huntingdon","1867-08-07, Huntingdon, Quebec",2,1
1867-08-07,"General","1","Quebec","Iberville","1867-08-07, Iberville, Quebec",2,1
1867-08-07,"General","1","Quebec","Jacques Cartier","1867-08-07, Jacques Cartier, Quebec",2,1
1867-08-07,"General","1","Quebec","Joliette","1867-08-07, Joliette, Quebec",2,1
1867-08-07,"General","1","Quebec","L'Assomption","1867-08-07, L'Assomption, Quebec",2,1
1867-08-07,"General","1","Quebec","L'Islet","1867-08-07, L'Islet, Quebec",2,1
1867-08-07,"General","1","Quebec","Laprairie","1867-08-07, Laprairie, Quebec",2,1
1867-08-07,"General","1","Quebec","Laval","1867-08-07, Laval, Quebec",1,1
1867-08-07,"General","1","Quebec","Lévis","1867-08-07, Lévis, Quebec",1,1
1867-08-07,"General","1","Quebec","Lotbinière","1867-08-07, Lotbinière, Quebec",1,1
1867-08-07,"General","1","Quebec","Maskinongé","1867-08-07, Maskinongé, Quebec",2,1
1867-08-07,"General","1","Quebec","Mégantic","1867-08-07, Mégantic, Quebec",2,1
1867-08-07,"General","1","Quebec","Missisquoi","1867-08-07, Missisquoi, Quebec",2,1
1867-08-07,"General","1","Quebec","Montcalm","1867-08-07, Montcalm, Quebec",1,1
1867-08-07,"General","1","Quebec","Montmagny","1867-08-07, Montmagny, Quebec",1,1
1867-08-07,"General","1","Quebec","Montmorency","1867-08-07, Montmorency, Quebec",1,1
1867-08-07,"General","1","Quebec","Montreal Centre","1867-08-07, Montreal Centre, Quebec",1,1
1867-08-07,"General","1","Quebec","Montreal East","1867-08-07, Montreal East, Quebec",2,1
1867-08-07,"General","1","Quebec","Montreal West","1867-08-07, Montreal West, Quebec",2,1
1867-08-07,"General","1","Quebec","Napierville","1867-08-07, Napierville, Quebec",2,1
1867-08-07,"General","1","Quebec","Nicolet","1867-08-07, Nicolet, Quebec",2,1
1867-08-07,"General","1","Quebec","Ottawa (County of)","1867-08-07, Ottawa (County of), Quebec",1,1
1867-08-07,"General","1","Quebec","Pontiac","1867-08-07, Pontiac, Quebec",1,1
1867-08-07,"General","1","Quebec","Portneuf","1867-08-07, Portneuf, Quebec",3,1
1867-08-07,"General","1","Quebec","Quebec-Centre","1867-08-07, Quebec-Centre, Quebec",3,1
1867-08-07,"General","1","Quebec","Quebec County","1867-08-07, Quebec County, Quebec",1,1
1867-08-07,"General","1","Quebec","Quebec East","1867-08-07, Quebec East, Quebec",1,1
1867-08-07,"General","1","Quebec","Quebec West","1867-08-07, Quebec West, Quebec",1,1
1867-08-07,"General","1","Quebec","Richelieu","1867-08-07, Richelieu, Quebec",3,1
1867-08-07,"General","1","Quebec","Richmond--Wolfe","1867-08-07, Richmond--Wolfe, Quebec",2,1
1867-08-07,"General","1","Quebec","Rimouski","1867-08-07, Rimouski, Quebec",2,1
1867-08-07,"General","1","Quebec","Rouville","1867-08-07, Rouville, Quebec",2,1
1867-08-07,"General","1","Quebec","Saint Maurice","1867-08-07, Saint Maurice, Quebec",1,1
1867-08-07,"General","1","Quebec","Shefford","1867-08-07, Shefford, Quebec",2,1
1867-08-07,"General","1","Quebec","Sherbrooke (Town of)","1867-08-07, Sherbrooke (Town of), Quebec",1,1
1867-08-07,"General","1","Quebec","Soulanges","1867-08-07, Soulanges, Quebec",2,1
1867-08-07,"General","1","Quebec","St. Hyacinthe","1867-08-07, St. Hyacinthe, Quebec",2,1
1867-08-07,"General","1","Quebec","St. John's","1867-08-07, St. John's, Quebec",2,1
1867-08-07,"General","1","Quebec","Stanstead","1867-08-07, Stanstead, Quebec",2,1
1867-08-07,"General","1","Quebec","Témiscouata","1867-08-07, Témiscouata, Quebec",1,1
1867-08-07,"General","1","Quebec","Terrebonne","1867-08-07, Terrebonne, Quebec",1,1
1867-08-07,"General","1","Quebec","Three Rivers","1867-08-07, Three Rivers, Quebec",2,1
1867-08-07,"General","1","Quebec","Two Mountains","1867-08-07, Two Mountains, Quebec",1,1
1867-08-07,"General","1","Quebec","Vaudreuil","1867-08-07, Vaudreuil, Quebec",1,1
1867-08-07,"General","1","Quebec","Verchères","1867-08-07, Verchères, Quebec",2,1
1867-08-07,"General","1","Quebec","Yamaska","1867-08-07, Yamaska, Quebec",2,1
1867-08-07,"General","1","New Brunswick","Albert","1867-08-07, Albert, New Brunswick",2,1
1867-08-07,"General","1","New Brunswick","Carleton","1867-08-07, Carleton, New Brunswick",1,1
1867-08-07,"General","1","New Brunswick","Charlotte","1867-08-07, Charlotte, New Brunswick",2,1
1867-08-07,"General","1","New Brunswick","Gloucester","1867-08-07, Gloucester, New Brunswick",2,1
1867-08-07,"General","1","New Brunswick","Kent","1867-08-07, Kent, New Brunswick",4,1
1867-08-07,"General","1","New Brunswick","King's","1867-08-07, King's, New Brunswick",2,1
1867-08-07,"General","1","New Brunswick","Northumberland","1867-08-07, Northumberland, New Brunswick",2,1
1867-08-07,"General","1","New Brunswick","Queen's","1867-08-07, Queen's, New Brunswick",1,1
1867-08-07,"General","1","New Brunswick","Restigouche","1867-08-07, Restigouche, New Brunswick",2,1
1867-08-07,"General","1","New Brunswick","St. John (City and County of)","1867-08-07, St. John (City and County of), New Brunswick",1,1
1867-08-07,"General","1","New Brunswick","St. John (City of )","1867-08-07, St. John (City of ), New Brunswick",2,1
1867-08-07,"General","1","New Brunswick","Sunbury","1867-08-07, Sunbury, New Brunswick",2,1
1867-08-07,"General","1","New Brunswick","Victoria","1867-08-07, Victoria, New Brunswick",4,1
1867-08-07,"General","1","New Brunswick","Westmorland","1867-08-07, Westmorland, New Brunswick",2,1
1867-08-07,"General","1","New Brunswick","York","1867-08-07, York, New Brunswick",1,1
1867-08-07,"General","1","Nova Scotia","Annapolis","1867-08-07, Annapolis, Nova Scotia",2,1
1867-08-07,"General","1","Nova Scotia","Antigonish","1867-08-07, Antigonish, Nova Scotia",2,1
1867-08-07,"General","1","Nova Scotia","Cape Breton","1867-08-07, Cape Breton, Nova Scotia",1,1
1867-08-07,"General","1","Nova Scotia","Colchester","1867-08-07, Colchester, Nova Scotia",2,1
1867-08-07,"General","1","Nova Scotia","Cumberland","1867-08-07, Cumberland, Nova Scotia",2,1
1867-08-07,"General","1","Nova Scotia","Digby","1867-08-07, Digby, Nova Scotia",3,1
1867-08-07,"General","1","Nova Scotia","Guysborough","1867-08-07, Guysborough, Nova Scotia",1,1
1867-08-07,"General","1","Nova Scotia","Halifax","1867-08-07, Halifax, Nova Scotia",4,2
1867-08-07,"General","1","Nova Scotia","Hants","1867-08-07, Hants, Nova Scotia",2,1
1867-08-07,"General","1","Nova Scotia","Inverness","1867-08-07, Inverness, Nova Scotia",2,1
1867-08-07,"General","1","Nova Scotia","Kings","1867-08-07, Kings, Nova Scotia",2,1
1867-08-07,"General","1","Nova Scotia","Lunenburg","1867-08-07, Lunenburg, Nova Scotia",2,1
1867-08-07,"General","1","Nova Scotia","Pictou","1867-08-07, Pictou, Nova Scotia",2,1
1867-08-07,"General","1","Nova Scotia","Queens","1867-08-07, Queens, Nova Scotia",2,1
1867-08-07,"General","1","Nova Scotia","Richmond","1867-08-07, Richmond, Nova Scotia",2,1
1867-08-07,"General","1","Nova Scotia","Shelburne","1867-08-07, Shelburne, Nova Scotia",1,1
1867-08-07,"General","1","Nova Scotia","Victoria","1867-08-07, Victoria, Nova Scotia",1,1
1867-08-07,"General","1","Nova Scotia","Yarmouth","1867-08-07, Yarmouth, Nova Scotia",2,1
1867-11-28,"By-Election","1","Quebec","Huntingdon","1867-11-28, Huntingdon, Quebec",1,1
1867-12-11,"By-Election","1","Quebec","Montmorency","1867-12-11, Montmorency, Quebec",2,1
1868-03-13,"By-Election","1","New Brunswick","Restigouche","1868-03-13, Restigouche, New Brunswick",2,1
1868-04-13,"By-Election","1","Ontario","Lincoln","1868-04-13, Lincoln, Ontario",2,1
1868-04-20,"By-Election","1","Quebec","Montreal West","1868-04-20, Montreal West, Quebec",1,1
1868-08-14,"By-Election","1","Ontario","York West","1868-08-14, York West, Ontario",2,1
1868-10-17,"By-Election","1","Quebec","Three Rivers","1868-10-17, Three Rivers, Quebec",1,1
1868-10-28,"By-Election","1","New Brunswick","York","1868-10-28, York, New Brunswick",1,1
1868-10-30,"By-Election","1","Quebec","Saint Maurice","1868-10-30, Saint Maurice, Quebec",2,1
1868-12-24,"By-Election","1","New Brunswick","Northumberland","1868-12-24, Northumberland, New Brunswick",2,1
1869-01-18,"By-Election","1","Ontario","Wellington Centre","1869-01-18, Wellington Centre, Ontario",1,1
1869-02-17,"By-Election","1","Quebec","Kamouraska","1869-02-17, Kamouraska, Quebec",2,1
1869-04-20,"By-Election","1","Nova Scotia","Richmond","1869-04-20, Richmond, Nova Scotia",2,1
1869-04-20,"By-Election","1","Nova Scotia","Yarmouth","1869-04-20, Yarmouth, Nova Scotia",2,1
1869-04-24,"By-Election","1","Nova Scotia","Hants","1869-04-24, Hants, Nova Scotia",2,1
1869-07-12,"By-Election","1","Ontario","Renfrew South","1869-07-12, Renfrew South, Ontario",2,1
1869-07-14,"By-Election","1","Quebec","L'Islet","1869-07-14, L'Islet, Quebec",2,1
1869-09-09,"By-Election","1","Nova Scotia","Colchester","1869-09-09, Colchester, Nova Scotia",2,1
1869-10-30,"By-Election","1","Quebec","Huntingdon","1869-10-30, Huntingdon, Quebec",1,1
1869-11-13,"By-Election","1","Ontario","Renfrew North","1869-11-13, Renfrew North, Ontario",2,1
1869-11-29,"By-Election","1","Ontario","Lanark South","1869-11-29, Lanark South, Ontario",1,1
1869-11-29,"By-Election","1","Quebec","Brome","1869-11-29, Brome, Quebec",1,1
1870-04-27,"By-Election","1","Ontario","Frontenac","1870-04-27, Frontenac, Ontario",2,1
1870-06-15,"By-Election","1","Nova Scotia","Cumberland","1870-06-15, Cumberland, Nova Scotia",1,1
1870-06-23,"By-Election","1","Nova Scotia","Kings","1870-06-23, Kings, Nova Scotia",1,1
1870-07-05,"By-Election","1","Quebec","Missisquoi","1870-07-05, Missisquoi, Quebec",2,1
1870-07-18,"By-Election","1","Quebec","Quebec East","1870-07-18, Quebec East, Quebec",2,1
1870-08-15,"By-Election","1","Quebec","Bellechasse","1870-08-15, Bellechasse, Quebec",1,1
1870-09-01,"By-Election","1","Quebec","St. Hyacinthe","1870-09-01, St. Hyacinthe, Quebec",1,1
1870-11-08,"By-Election","1","Nova Scotia","Colchester","1870-11-08, Colchester, Nova Scotia",2,1
1870-11-18,"By-Election","1","Quebec","Richelieu","1870-11-18, Richelieu, Quebec",2,1
1870-11-29,"By-Election","1","New Brunswick","Restigouche","1870-11-29, Restigouche, New Brunswick",2,1
1871-03-02,"By-Election","1","Manitoba","Lisgar","1871-03-02, Lisgar, Manitoba",2,1
1871-03-02,"By-Election","1","Manitoba","Marquette","1871-03-02, Marquette, Manitoba",2,2
1871-03-02,"By-Election","1","Manitoba","Selkirk","1871-03-02, Selkirk, Manitoba",2,1
1871-03-03,"By-Election","1","Manitoba","Provencher","1871-03-03, Provencher, Manitoba",2,1
1871-03-20,"By-Election","1","Ontario","Hastings East","1871-03-20, Hastings East, Ontario",1,1
1871-06-30,"By-Election","1","Ontario","Algoma","1871-06-30, Algoma, Ontario",1,1
1871-09-15,"By-Election","1","Quebec","Montcalm","1871-09-15, Montcalm, Quebec",1,1
1871-11-11,"By-Election","1","Quebec","Compton","1871-11-11, Compton, Quebec",1,1
1871-11-17,"By-Election","1","Quebec","Brome","1871-11-17, Brome, Quebec",1,1
1871-12-13,"By-Election","1","British Columbia","New Westminster District","1871-12-13, New Westminster District, British Columbia",2,1
1871-12-15,"By-Election","1","British Columbia","Vancouver Island","1871-12-15, Vancouver Island, British Columbia",2,1
1871-12-19,"By-Election","1","British Columbia","Cariboo District","1871-12-19, Cariboo District, British Columbia",1,1
1871-12-19,"By-Election","1","British Columbia","Yale District","1871-12-19, Yale District, British Columbia",1,1
1872-07-20,"General","2","British Columbia","Cariboo","1872-07-20, Cariboo, British Columbia",1,1
1872-07-20,"General","2","British Columbia","New Westminster","1872-07-20, New Westminster, British Columbia",1,1
1872-07-20,"General","2","British Columbia","Vancouver","1872-07-20, Vancouver, British Columbia",1,1
1872-07-20,"General","2","British Columbia","Victoria","1872-07-20, Victoria, British Columbia",3,2
1872-07-20,"General","2","British Columbia","Yale","1872-07-20, Yale, British Columbia",2,1
1872-07-20,"General","2","Manitoba","Lisgar","1872-07-20, Lisgar, Manitoba",2,1
1872-07-20,"General","2","Manitoba","Marquette","1872-07-20, Marquette, Manitoba",4,1
1872-07-20,"General","2","Manitoba","Provencher","1872-07-20, Provencher, Manitoba",1,1
1872-07-20,"General","2","Manitoba","Selkirk","1872-07-20, Selkirk, Manitoba",4,1
1872-07-20,"General","2","Ontario","Addington","1872-07-20, Addington, Ontario",2,1
1872-07-20,"General","2","Ontario","Algoma","1872-07-20, Algoma, Ontario",2,1
1872-07-20,"General","2","Ontario","Bothwell","1872-07-20, Bothwell, Ontario",2,1
1872-07-20,"General","2","Ontario","Brant North","1872-07-20, Brant North, Ontario",2,1
1872-07-20,"General","2","Ontario","Brant South","1872-07-20, Brant South, Ontario",2,1
1872-07-20,"General","2","Ontario","Brockville","1872-07-20, Brockville, Ontario",2,1
1872-07-20,"General","2","Ontario","Bruce North","1872-07-20, Bruce North, Ontario",2,1
1872-07-20,"General","2","Ontario","Bruce South","1872-07-20, Bruce South, Ontario",2,1
1872-07-20,"General","2","Ontario","Cardwell","1872-07-20, Cardwell, Ontario",2,1
1872-07-20,"General","2","Ontario","Carleton","1872-07-20, Carleton, Ontario",4,1
1872-07-20,"General","2","Ontario","Cornwall","1872-07-20, Cornwall, Ontario",1,1
1872-07-20,"General","2","Ontario","Dundas","1872-07-20, Dundas, Ontario",2,1
1872-07-20,"General","2","Ontario","Durham East","1872-07-20, Durham East, Ontario",2,1
1872-07-20,"General","2","Ontario","Durham West","1872-07-20, Durham West, Ontario",1,1
1872-07-20,"General","2","Ontario","Elgin East","1872-07-20, Elgin East, Ontario",2,1
1872-07-20,"General","2","Ontario","Elgin West","1872-07-20, Elgin West, Ontario",2,1
1872-07-20,"General","2","Ontario","Essex","1872-07-20, Essex, Ontario",2,1
1872-07-20,"General","2","Ontario","Frontenac","1872-07-20, Frontenac, Ontario",1,1
1872-07-20,"General","2","Ontario","Glengarry","1872-07-20, Glengarry, Ontario",2,1
1872-07-20,"General","2","Ontario","Grenville South","1872-07-20, Grenville South, Ontario",2,1
1872-07-20,"General","2","Ontario","Grey East","1872-07-20, Grey East, Ontario",2,1
1872-07-20,"General","2","Ontario","Grey North","1872-07-20, Grey North, Ontario",2,1
1872-07-20,"General","2","Ontario","Grey South","1872-07-20, Grey South, Ontario",2,1
1872-07-20,"General","2","Ontario","Haldimand","1872-07-20, Haldimand, Ontario",1,1
1872-07-20,"General","2","Ontario","Halton","1872-07-20, Halton, Ontario",2,1
1872-07-20,"General","2","Ontario","Hamilton","1872-07-20, Hamilton, Ontario",4,2
1872-07-20,"General","2","Ontario","Hastings East","1872-07-20, Hastings East, Ontario",3,1
1872-07-20,"General","2","Ontario","Hastings North","1872-07-20, Hastings North, Ontario",2,1
1872-07-20,"General","2","Ontario","Hastings West","1872-07-20, Hastings West, Ontario",2,1
1872-07-20,"General","2","Ontario","Huron Centre","1872-07-20, Huron Centre, Ontario",2,1
1872-07-20,"General","2","Ontario","Huron North","1872-07-20, Huron North, Ontario",2,1
1872-07-20,"General","2","Ontario","Huron South","1872-07-20, Huron South, Ontario",2,1
1872-07-20,"General","2","Ontario","Kent","1872-07-20, Kent, Ontario",2,1
1872-07-20,"General","2","Ontario","Kingston","1872-07-20, Kingston, Ontario",2,1
1872-07-20,"General","2","Ontario","Lambton","1872-07-20, Lambton, Ontario",2,1
1872-07-20,"General","2","Ontario","Lanark North","1872-07-20, Lanark North, Ontario",3,1
1872-07-20,"General","2","Ontario","Lanark South","1872-07-20, Lanark South, Ontario",2,1
1872-07-20,"General","2","Ontario","Leeds North and Grenville North","1872-07-20, Leeds North and Grenville North, Ontario",2,1
1872-07-20,"General","2","Ontario","Leeds South","1872-07-20, Leeds South, Ontario",2,1
1872-07-20,"General","2","Ontario","Lennox","1872-07-20, Lennox, Ontario",2,1
1872-07-20,"General","2","Ontario","Lincoln","1872-07-20, Lincoln, Ontario",2,1
1872-07-20,"General","2","Ontario","London","1872-07-20, London, Ontario",2,1
1872-07-20,"General","2","Ontario","Middlesex East","1872-07-20, Middlesex East, Ontario",2,1
1872-07-20,"General","2","Ontario","Middlesex North","1872-07-20, Middlesex North, Ontario",1,1
1872-07-20,"General","2","Ontario","Middlesex West","1872-07-20, Middlesex West, Ontario",3,1
1872-07-20,"General","2","Ontario","Monck","1872-07-20, Monck, Ontario",2,1
1872-07-20,"General","2","Ontario","Muskoka","1872-07-20, Muskoka, Ontario",2,1
1872-07-20,"General","2","Ontario","Niagara","1872-07-20, Niagara, Ontario",2,1
1872-07-20,"General","2","Ontario","Norfolk North","1872-07-20, Norfolk North, Ontario",2,1
1872-07-20,"General","2","Ontario","Norfolk South","1872-07-20, Norfolk South, Ontario",2,1
1872-07-20,"General","2","Ontario","Northumberland East","1872-07-20, Northumberland East, Ontario",2,1
1872-07-20,"General","2","Ontario","Northumberland West","1872-07-20, Northumberland West, Ontario",1,1
1872-07-20,"General","2","Ontario","Ontario North","1872-07-20, Ontario North, Ontario",2,1
1872-07-20,"General","2","Ontario","Ontario South","1872-07-20, Ontario South, Ontario",3,1
1872-07-20,"General","2","Ontario","Ottawa (City of)","1872-07-20, Ottawa (City of), Ontario",2,2
1872-07-20,"General","2","Ontario","Oxford North","1872-07-20, Oxford North, Ontario",1,1
1872-07-20,"General","2","Ontario","Oxford South","1872-07-20, Oxford South, Ontario",1,1
1872-07-20,"General","2","Ontario","Peel","1872-07-20, Peel, Ontario",2,1
1872-07-20,"General","2","Ontario","Perth North","1872-07-20, Perth North, Ontario",2,1
1872-07-20,"General","2","Ontario","Perth South","1872-07-20, Perth South, Ontario",2,1
1872-07-20,"General","2","Ontario","Peterborough East","1872-07-20, Peterborough East, Ontario",2,1
1872-07-20,"General","2","Ontario","Peterborough West","1872-07-20, Peterborough West, Ontario",2,1
1872-07-20,"General","2","Ontario","Prescott","1872-07-20, Prescott, Ontario",1,1
1872-07-20,"General","2","Ontario","Prince Edward","1872-07-20, Prince Edward, Ontario",2,1
1872-07-20,"General","2","Ontario","Renfrew North","1872-07-20, Renfrew North, Ontario",2,1
1872-07-20,"General","2","Ontario","Renfrew South","1872-07-20, Renfrew South, Ontario",2,1
1872-07-20,"General","2","Ontario","Russell","1872-07-20, Russell, Ontario",2,1
